CAMERA,CATEGORY,DB1,PRICE,RANK,COST,DATE of PURCHASE,LISTED,SOLD AT,COMMENT
NIKON F100,SLR,,0,5,110,2023/03,,,w/ PORTRA 400 36EXP
FUJIFILM GFX50R,MRLS,,2925,,2400,,2023-04,,
RICOH GR3,P&S,82713,1220,,850,,2026-03,,
NIKON D810,DSLR,,850,,850,,,,
RICOH GR2,P&S,,550,,750,,,,
CANON EOS 1,SLR,,0,8,130,,,,
LEICA M3,RF,1022006,0,7,1880,,,,
NIKON D850,SLR,5005979,0,6,1200,,,,
SIGMA DP1M,P&S,90308446,550,7,300,2024-01,,,
Mamiya RZ67 Professional,SLR,112198,1420,8,1100,2024-04,2026-04-27,2026-04-30,2 film back; 1 polaroid back; hard case; heavy duty tripod; broken lightmeter; 110/2.8w lens
Hasselblad SWC/M,P&S,,0,8,2300,,,,
Mamiya RZ67 PROII KIT,SLR,QD1106,0,7,1000,,,,
Pentax 67,SLR,4197330,0,9,500,,,,
Nikon FE,SLR,3810368,130,9,50,2025-08-31,2025-09-03,,with Ai 50/1.8
Rollei AFM35,P&S,,780,7,600,2025-10-07,,,
Pentax 645D,DSLR,4002663,0,6,1100,2025-10-21,,,
Nikon Z6II,MRLS,,1,8,1200,2026-01-14,2026-04-08,,
Rollei AFM35,P&S,,0,9,600,2026-02-15,,,
RICOH GRIIIx,P&S,,0,9,1100,,,,
LEICA M9,RF,3841052,0,8,2800,,,,
NIKON FM2,SLR,N8267544,0,7,200,,,,
NIKON FM2,SLR,N7830000,0,7,220,,,,
Canon EOS RP,MIRRORLESS,,0,7,550,2026-04-18,,,
PENTAX 67 TTL,SLR,,,7,500,2026-05-14,,,