INDEX,LENS,SN,PRICE,COST,MOUNT,RANK,DATE OF PURCHASE,LISTED,SOLD,DESCRIPTION,Is Accessory
1,AF-S NIKKOR 28-70 1:2.8D,202012,600,661,NIKON F,7,2023-03-28,,,0,
2,smc PENTAX-M 67 55mm f4,8541804,0,275,PENTAX 67,7,2023-04-03,,,0,
3,AF-S NIKKOR 50 f1.4G,,300,270,NIKON F,7,2023-04-03,,,2048,
4,AF-S NIKKOR 18-105 f3.5-5.6G DX,,80,80,NIKON F,6,2023-04-03,,,0,
5,FUJINON GF 50mm 1:3.5 R LM WR,05A00187,900,800,GFX,8,2022-05-15,,,262144,
6,AF-S NIKKOR 300 f4,,0,350,NIKON F,5,2023-03-31,,,0,
7,ZEISS PLANAR SILVER 2.0/50 ZM,15868306,750,580,LEICA M,8,2023-04-20,,2026-03-19,0,
8,SIGMA ART 35/1.4,,0,400,NIKON F,7,2023-05-15,,,0,
9,AF-S NIKKOR 70-300mm 1:4.5-5.6 G,2801670,0,240,NIKON F,7,2023-05-23,,,0,
10,AF-S NIKKOR 85mm 1:1.4G,,850,800,NIKON F,7,2023-09-17,,2024-01,0,
11,SIGMA ART 135/1.8,,0,750,NIKON F,7,2023-12-28,,,0,
12,MAMIYA-SEKOR Z f=110mm 1:2.8 W,34903,0,0,MAMIYA RZ67,6,2024-04-02,,,0,
13,AF-S Nikkor 24-70 1:2.8G,,550,396,NIKON F,6,2024-10-01,,2025-02-26,786432,
14,AF-S Nikkor 14-24 1:2.8G,,600,390,NIKON F,7,2024-10-01,,2025-09-18,786944,
15,SIGMA ART 50/1.4,51293331,500,360,NIKON F,7,2024-12-23,,2025-12-01,266240,
16,OLYMPUS ZUIKO 40/1.4,,0,150,OLYMPUS PEN,5,2025-07-01,,,0,
17,Carl Zeiss Biogon 1:4.5 f=38mm,5766603,0,0,SWC,7,2025-07-13,,,0,
18,MAMIYA-SEKOR Z f=110mm 1:2.8 W,55358,600,400,MAMIYA RZ67,7,2025-08-06,,,524288,
19,smc 67 90mm 1:2.8,8531287,0,300,PENTAX 67,8,2025-08-24,,,0,
20,smc 67 45mm 1:4,8591924,440,300,PENTAX 67,9,2025-08-24,,2026-01-11,278016,
21,Ai Nikkor 50mm 1:1.8,2101727,60,23,NIKON F,7,2025-08-31,,,12800,
22,SONY 85 1:1.4 GM,,1100,950,SONY E,8,2025-10-28,,2025-12-20,271872,
23,NIKKOR AF-S 28-70 1:2.8D,217340,300,220,NIKON F,7,2025-10-28,,2026-04-21,276480,
24,PENTAX FA645 120mm F4,4230073,0,358,PENTAX 645,9,2025-11-05,,,786432,
25,MAMIYA SEKOR AF 80/2.8D,JG3036,460,300,MAMIYA AF,9,2025-11-08,,2025-11-24,276992,
26,NIKKOR AF-S 17-35 1:2.8D,301288,380,189,NIKON F,8,2025-11-07,,2026-01-01,483328,
27,NIKKOR AF-S 16-35 VR 1:4G,222183,450,200,NIKON F,8,2026-01-01,,,798720,
28,AF-S Nikkor 14-24 1:2.8G,311631,0,350,NIKON F,7,2026-01-07,,,0,
29,Ai-S Nikkor 85 1.4,222556,0,460,NIKON F,8,2026-01-18,,,0,
30,Mamiya TELECONVERTER 1.4x,,0,58,MAMIYA RZ67,6,2026-02-01,,,0,1
31,PENTAX SMC 67 200mm 1:4,,0,66,PENTAX 67,4,2026-02-01,,,0,
32,FOTODIOX PRO PT67-645 Adapter,,0,10,*PENTAX 645,6,2026-02-01,,,0,1
33,Carl Zeiss Planar 1.4/50 ZE,,350,126,CANON EF,8,2026-02-01,,,787471,
34,CNC Xpan Lens Hood,,0,120,*XPAN,9,2026-02-01,,,0,1
35,Mamiya Sekor Z 150mm f/3.5 W,16161,300,227,MAMIYA RZ67,7,2026-02-01,2026-04-27,2026-04-30,0,
36,AF-S Micro Nikkor 60mm f/2.8G ED,262888,0,280,NIKON F,9,2026-02-15,,,269312,
37,LEICA SUMMICRON-M 1:2/35 ASPH (11882),3809915,0,2150,LEICA M,10,2026-03-14,,,0,
38,NIKKOR AF 50 1.8,,50,0,NIKON F,7,2026-04-01,,2026-04-20,62976,
39,Micro-NIKKOR 55mm 1:2.8,473964,0,0,NIKON F,5,2026-04-14,,,APERTURE BLADE NOT WORKING,
40,Carl Zeiss Planar 1.4/50 ZE,,0,116,CANON EF,8,2026-03-20,,,788992,
41,Canon RF IS 24-105 4-7.1,,0,150,CANON RF,7,2026-04-18,,,,
42,smc 67 105mm 1:2.4,8818022,0,450,PENTAX 67,8,2026-05-14,,,,